qualifying_thirds,winner_A,winner_B,winner_D,winner_E,winner_G,winner_I,winner_K,winner_L
ABEFGIJL,E,J,B,F,A,G,L,I
ABEFGIKL,E,G,B,A,I,F,L,K
ABEFGJKL,E,J,B,F,A,G,L,K
ABEFHIJK,E,J,B,F,A,H,I,K
ABEFHIJL,E,J,B,F,A,H,L,I
ABEFHIKL,E,I,B,F,A,H,L,K
ABEFHJKL,E,J,B,F,A,H,L,K
ABEFIJKL,E,J,B,A,I,F,L,K
ABEGHIJK,E,J,B,A,H,G,I,K
ABEGHIJL,E,J,B,A,H,G,L,I
ABEGHIKL,E,G,B,A,I,H,L,K
ABEGHJKL,E,J,B,A,H,G,L,K
ABEGIJKL,E,J,B,A,I,G,L,K
ABEHIJKL,E,J,B,A,I,H,L,K
ABFGHIJK,H,J,B,F,A,G,I,K
ABFGHIJL,H,J,B,F,A,G,L,I
ABFGHIKL,H,G,B,A,I,F,L,K
ABFGHJKL,H,J,B,F,A,G,L,K
ABFGIJKL,I,J,B,F,A,G,L,K
ABFHIJKL,H,J,B,A,I,F,L,K
ABGHIJKL,H,J,B,A,I,G,L,K
ACDEFGHI,H,G,E,C,A,F,D,I
ACDEFGHJ,H,G,J,C,A,F,D,E
ACDEFGHK,H,G,E,C,A,F,D,K
ACDEFGHL,H,G,F,C,A,D,L,E
ACDEFGIJ,C,G,J,D,A,F,E,I
ACDEFGIK,C,G,E,D,A,F,I,K
ACDEFGIL,C,G,E,D,A,F,L,I
ACDEFGJK,C,G,J,D,A,F,E,K
ACDEFGJL,C,G,J,D,A,F,L,E
ACDEFGKL,C,G,E,D,A,F,L,K
ACDEFHIJ,H,J,E,C,A,F,D,I
ACDEFHIK,H,E,F,C,A,D,I,K
ACDEFHIL,H,E,F,C,A,D,L,I
ACDEFHJK,H,J,E,C,A,F,D,K
ACDEFHJL,H,J,F,C,A,D,L,E
ACDEFHKL,H,E,F,C,A,D,L,K
ACDEFIJK,C,J,E,D,A,F,I,K
ACDEFIJL,C,J,E,D,A,F,L,I
ACDEFIKL,C,E,I,D,A,F,L,K
ACDEFJKL,C,J,E,D,A,F,L,K
ACDEGHIJ,H,G,J,C,A,D,E,I
ACDEGHIK,H,G,E,C,A,D,I,K
ACDEGHIL,H,G,E,C,A,D,L,I
ACDEGHJK,H,G,J,C,A,D,E,K
ACDEGHJL,H,G,J,C,A,D,L,E
ACDEGHKL,H,G,E,C,A,D,L,K
ACDEGIJK,E,G,J,C,A,D,I,K
ACDEGIJL,E,G,J,C,A,D,L,I
ACDEGIKL,E,G,I,C,A,D,L,K
ACDEGJKL,E,G,J,C,A,D,L,K
ACDEHIJK,H,J,E,C,A,D,I,K
ACDEHIJL,H,J,E,C,A,D,L,I
ACDEHIKL,H,E,I,C,A,D,L,K
ACDEHJKL,H,J,E,C,A,D,L,K
ACDEIJKL,E,J,I,C,A,D,L,K
ACDFGHIJ,H,G,J,C,A,F,D,I
ACDFGHIK,H,G,F,C,A,D,I,K
ACDFGHIL,H,G,F,C,A,D,L,I
ACDFGHJK,H,G,J,C,A,F,D,K
ACDFGHJL,C,G,J,D,A,F,L,H
ACDFGHKL,H,G,F,C,A,D,L,K
ACDFGIJK,C,G,J,D,A,F,I,K
ACDFGIJL,C,G,J,D,A,F,L,I
ACDFGIKL,C,G,I,D,A,F,L,K
ACDFGJKL,C,G,J,D,A,F,L,K
ACDFHIJK,H,J,F,C,A,D,I,K
ACDFHIJL,H,J,F,C,A,D,L,I
ACDFHIKL,H,F,I,C,A,D,L,K
ACDFHJKL,H,J,F,C,A,D,L,K
ACDFIJKL,C,J,I,D,A,F,L,K
ACDGHIJK,H,G,J,C,A,D,I,K
ACDGHIJL,H,G,J,C,A,D,L,I
ACDGHIKL,H,G,I,C,A,D,L,K
ACDGHJKL,H,G,J,C,A,D,L,K
ACDGIJKL,I,G,J,C,A,D,L,K
ACDHIJKL,H,J,I,C,A,D,L,K
ACEFGHIJ,H,G,J,C,A,F,E,I
ACEFGHIK,H,G,E,C,A,F,I,K
ACEFGHIL,H,G,E,C,A,F,L,I
ACEFGHJK,H,G,J,C,A,F,E,K
ACEFGHJL,H,G,J,C,A,F,L,E
ACEFGHKL,H,G,E,C,A,F,L,K
ACEFGIJK,E,G,J,C,A,F,I,K
ACEFGIJL,E,G,J,C,A,F,L,I
ACEFGIKL,E,G,I,C,A,F,L,K
ACEFGJKL,E,G,J,C,A,F,L,K
ACEFHIJK,H,J,E,C,A,F,I,K
ACEFHIJL,H,J,E,C,A,F,L,I
ACEFHIKL,H,E,I,C,A,F,L,K
ACEFHJKL,H,J,E,C,A,F,L,K
ACEFIJKL,E,J,I,C,A,F,L,K
ACEGHIJK,E,G,J,C,A,H,I,K
ACEGHIJL,E,G,J,C,A,H,L,I
ACEGHIKL,E,G,I,C,A,H,L,K
ACEGHJKL,E,G,J,C,A,H,L,K
ACEGIJKL,E,J,I,C,A,G,L,K
ACEHIJKL,E,J,I,C,A,H,L,K
ACFGHIJK,H,G,J,C,A,F,I,K
ACFGHIJL,H,G,J,C,A,F,L,I
ACFGHIKL,H,G,I,C,A,F,L,K
ACFGHJKL,H,G,J,C,A,F,L,K
ACFGIJKL,I,G,J,C,A,F,L,K
ACFHIJKL,H,J,I,C,A,F,L,K
ACGHIJKL,H,J,I,C,A,G,L,K
ADEFGHIJ,H,G,J,D,A,F,E,I
ADEFGHIK,H,G,E,D,A,F,I,K
ADEFGHIL,H,G,E,D,A,F,L,I
ADEFGHJK,H,G,J,D,A,F,E,K
ADEFGHJL,H,G,J,D,A,F,L,E
ADEFGHKL,H,G,E,D,A,F,L,K
ADEFGIJK,E,G,J,D,A,F,I,K
ADEFGIJL,E,G,J,D,A,F,L,I
ADEFGIKL,E,G,I,D,A,F,L,K
ADEFGJKL,E,G,J,D,A,F,L,K
ADEFHIJK,H,J,E,D,A,F,I,K
ADEFHIJL,H,J,E,D,A,F,L,I
ADEFHIKL,H,E,I,D,A,F,L,K
ADEFHJKL,H,J,E,D,A,F,L,K
ADEFIJKL,E,J,I,D,A,F,L,K
ADEGHIJK,E,G,J,D,A,H,I,K
ADEGHIJL,E,G,J,D,A,H,L,I
ADEGHIKL,E,G,I,D,A,H,L,K
ADEGHJKL,E,G,J,D,A,H,L,K
ADEGIJKL,E,J,I,D,A,G,L,K
ADEHIJKL,E,J,I,D,A,H,L,K
ADFGHIJK,H,G,J,D,A,F,I,K
ADFGHIJL,H,G,J,D,A,F,L,I
ADFGHIKL,H,G,I,D,A,F,L,K
ADFGHJKL,H,G,J,D,A,F,L,K
ADFGIJKL,I,G,J,D,A,F,L,K
ADFHIJKL,H,J,I,D,A,F,L,K
ADGHIJKL,H,J,I,D,A,G,L,K
AEFGHIJK,E,G,J,F,A,H,I,K
AEFGHIJL,E,G,J,F,A,H,L,I
AEFGHIKL,E,G,I,F,A,H,L,K
AEFGHJKL,E,G,J,F,A,H,L,K
AEFGIJKL,E,J,I,F,A,G,L,K
AEFHIJKL,E,J,I,F,A,H,L,K
AEGHIJKL,E,J,I,A,H,G,L,K
AFGHIJKL,H,J,I,F,A,G,L,K
BCDEFGHI,C,G,B,D,H,F,E,I
BCDEFGHJ,H,G,B,C,J,F,D,E
BCDEFGHK,C,G,B,D,H,F,E,K
BCDEFGHL,C,G,B,D,H,F,L,E
BCDEFGIJ,C,G,B,D,J,F,E,I
BCDEFGIK,C,G,B,D,E,F,I,K
BCDEFGIL,C,G,B,D,E,F,L,I
BCDEFGJK,C,G,B,D,J,F,E,K
BCDEFGJL,C,G,B,D,J,F,L,E
BCDEFGKL,C,G,B,D,E,F,L,K
BCDEFHIJ,C,J,B,D,H,F,E,I
BCDEFHIK,C,E,B,D,H,F,I,K
BCDEFHIL,C,E,B,D,H,F,L,I
BCDEFHJK,C,J,B,D,H,F,E,K
BCDEFHJL,C,J,B,D,H,F,L,E
BCDEFHKL,C,E,B,D,H,F,L,K
BCDEFIJK,C,J,B,D,E,F,I,K
BCDEFIJL,C,J,B,D,E,F,L,I
BCDEFIKL,C,E,B,D,I,F,L,K
BCDEFJKL,C,J,B,D,E,F,L,K
BCDEGHIJ,H,G,B,C,J,D,E,I
BCDEGHIK,E,G,B,C,H,D,I,K
BCDEGHIL,E,G,B,C,H,D,L,I
BCDEGHJK,H,G,B,C,J,D,E,K
BCDEGHJL,H,G,B,C,J,D,L,E
BCDEGHKL,E,G,B,C,H,D,L,K
BCDEGIJK,E,G,B,C,J,D,I,K
BCDEGIJL,E,G,B,C,J,D,L,I
BCDEGIKL,E,G,B,C,I,D,L,K
BCDEGJKL,E,G,B,C,J,D,L,K
BCDEHIJK,E,J,B,C,H,D,I,K
BCDEHIJL,E,J,B,C,H,D,L,I
BCDEHIKL,E,I,B,C,H,D,L,K
BCDEHJKL,E,J,B,C,H,D,L,K
BCDEIJKL,E,J,B,C,I,D,L,K
BCDFGHIJ,H,G,B,C,J,F,D,I
BCDFGHIK,C,G,B,D,H,F,I,K
BCDFGHIL,C,G,B,D,H,F,L,I
BCDFGHJK,H,G,B,C,J,F,D,K
BCDFGHJL,C,G,B,D,H,F,L,J
BCDFGHKL,C,G,B,D,H,F,L,K
BCDFGIJK,C,G,B,D,J,F,I,K
BCDFGIJL,C,G,B,D,J,F,L,I
BCDFGIKL,C,G,B,D,I,F,L,K
BCDFGJKL,C,G,B,D,J,F,L,K
BCDFHIJK,C,J,B,D,H,F,I,K
BCDFHIJL,C,J,B,D,H,F,L,I
BCDFHIKL,C,I,B,D,H,F,L,K
BCDFHJKL,C,J,B,D,H,F,L,K
BCDFIJKL,C,J,B,D,I,F,L,K
BCDGHIJK,H,G,B,C,J,D,I,K
BCDGHIJL,H,G,B,C,J,D,L,I
BCDGHIKL,H,G,B,C,I,D,L,K
BCDGHJKL,H,G,B,C,J,D,L,K
BCDGIJKL,I,G,B,C,J,D,L,K
BCDHIJKL,H,J,B,C,I,D,L,K
BCEFGHIJ,H,G,B,C,J,F,E,I
BCEFGHIK,E,G,B,C,H,F,I,K
BCEFGHIL,E,G,B,C,H,F,L,I
BCEFGHJK,H,G,B,C,J,F,E,K
BCEFGHJL,H,G,B,C,J,F,L,E
BCEFGHKL,E,G,B,C,H,F,L,K
BCEFGIJK,E,G,B,C,J,F,I,K
BCEFGIJL,E,G,B,C,J,F,L,I
BCEFGIKL,E,G,B,C,I,F,L,K
BCEFGJKL,E,G,B,C,J,F,L,K
BCEFHIJK,E,J,B,C,H,F,I,K
BCEFHIJL,E,J,B,C,H,F,L,I
BCEFHIKL,E,I,B,C,H,F,L,K
BCEFHJKL,E,J,B,C,H,F,L,K
BCEFIJKL,E,J,B,C,I,F,L,K
BCEGHIJK,E,J,B,C,H,G,I,K
BCEGHIJL,E,J,B,C,H,G,L,I
BCEGHIKL,E,G,B,C,I,H,L,K
BCEGHJKL,E,J,B,C,H,G,L,K
BCEGIJKL,E,J,B,C,I,G,L,K
BCEHIJKL,E,J,B,C,I,H,L,K
BCFGHIJK,H,G,B,C,J,F,I,K
BCFGHIJL,H,G,B,C,J,F,L,I
BCFGHIKL,H,G,B,C,I,F,L,K
BCFGHJKL,H,G,B,C,J,F,L,K
BCFGIJKL,I,G,B,C,J,F,L,K
BCFHIJKL,H,J,B,C,I,F,L,K
BCGHIJKL,H,J,B,C,I,G,L,K
BDEFGHIJ,H,G,B,D,J,F,E,I
BDEFGHIK,E,G,B,D,H,F,I,K
BDEFGHIL,E,G,B,D,H,F,L,I
BDEFGHJK,H,G,B,D,J,F,E,K
BDEFGHJL,H,G,B,D,J,F,L,E
BDEFGHKL,E,G,B,D,H,F,L,K
BDEFGIJK,E,G,B,D,J,F,I,K
BDEFGIJL,E,G,B,D,J,F,L,I
BDEFGIKL,E,G,B,D,I,F,L,K
BDEFGJKL,E,G,B,D,J,F,L,K
BDEFHIJK,E,J,B,D,H,F,I,K
BDEFHIJL,E,J,B,D,H,F,L,I
BDEFHIKL,E,I,B,D,H,F,L,K
BDEFHJKL,E,J,B,D,H,F,L,K
BDEFIJKL,E,J,B,D,I,F,L,K
BDEGHIJK,E,J,B,D,H,G,I,K
BDEGHIJL,E,J,B,D,H,G,L,I
BDEGHIKL,E,G,B,D,I,H,L,K
BDEGHJKL,E,J,B,D,H,G,L,K
BDEGIJKL,E,J,B,D,I,G,L,K
BDEHIJKL,E,J,B,D,I,H,L,K
BDFGHIJK,H,G,B,D,J,F,I,K
BDFGHIJL,H,G,B,D,J,F,L,I
BDFGHIKL,H,G,B,D,I,F,L,K
BDFGHJKL,H,G,B,D,J,F,L,K
BDFGIJKL,I,G,B,D,J,F,L,K
BDFHIJKL,H,J,B,D,I,F,L,K
BDGHIJKL,H,J,B,D,I,G,L,K
BEFGHIJK,E,J,B,F,H,G,I,K
BEFGHIJL,E,J,B,F,H,G,L,I
BEFGHIKL,E,G,B,F,I,H,L,K
BEFGHJKL,E,J,B,F,H,G,L,K
BEFGIJKL,E,J,B,F,I,G,L,K
BEFHIJKL,E,J,B,F,I,H,L,K
BEGHIJKL,E,J,I,B,H,G,L,K
BFGHIJKL,H,J,B,F,I,G,L,K
CDEFGHIJ,C,G,J,D,H,F,E,I
CDEFGHIK,C,G,E,D,H,F,I,K
CDEFGHIL,C,G,E,D,H,F,L,I
CDEFGHJK,C,G,J,D,H,F,E,K
CDEFGHJL,C,G,J,D,H,F,L,E
CDEFGHKL,C,G,E,D,H,F,L,K
CDEFGIJK,C,G,E,D,J,F,I,K
CDEFGIJL,C,G,E,D,J,F,L,I
CDEFGIKL,C,G,E,D,I,F,L,K
CDEFGJKL,C,G,E,D,J,F,L,K
CDEFHIJK,C,J,E,D,H,F,I,K
CDEFHIJL,C,J,E,D,H,F,L,I
CDEFHIKL,C,E,I,D,H,F,L,K
CDEFHJKL,C,J,E,D,H,F,L,K
CDEFIJKL,C,J,E,D,I,F,L,K
CDEGHIJK,E,G,J,C,H,D,I,K
CDEGHIJL,E,G,J,C,H,D,L,I
CDEGHIKL,E,G,I,C,H,D,L,K
CDEGHJKL,E,G,J,C,H,D,L,K
CDEGIJKL,E,G,I,C,J,D,L,K
CDEHIJKL,E,J,I,C,H,D,L,K
CDFGHIJK,C,G,J,D,H,F,I,K
CDFGHIJL,C,G,J,D,H,F,L,I
CDFGHIKL,C,G,I,D,H,F,L,K
CDFGHJKL,C,G,J,D,H,F,L,K
CDFGIJKL,C,G,I,D,J,F,L,K
CDFHIJKL,C,J,I,D,H,F,L,K
CDGHIJKL,H,G,I,C,J,D,L,K
CEFGHIJK,E,G,J,C,H,F,I,K
CEFGHIJL,E,G,J,C,H,F,L,I
CEFGHIKL,E,G,I,C,H,F,L,K
CEFGHJKL,E,G,J,C,H,F,L,K
CEFGIJKL,E,G,I,C,J,F,L,K
CEFHIJKL,E,J,I,C,H,F,L,K
CEGHIJKL,E,J,I,C,H,G,L,K
CFGHIJKL,H,G,I,C,J,F,L,K
DEFGHIJK,E,G,J,D,H,F,I,K
DEFGHIJL,E,G,J,D,H,F,L,I
DEFGHIKL,E,G,I,D,H,F,L,K
DEFGHJKL,E,G,J,D,H,F,L,K
DEFGIJKL,E,G,I,D,J,F,L,K
DEFHIJKL,E,J,I,D,H,F,L,K
DEGHIJKL,E,J,I,D,H,G,L,K
DFGHIJKL,H,G,I,D,J,F,L,K
EFGHIJKL,E,J,I,F,H,G,L,K
