team,stage,opponent,meet_prob
Argentina,FINAL,Tunisia,0.00021
Argentina,FINAL,South Africa,0.00015
Argentina,FINAL,Panama,9e-05
Argentina,FINAL,Cape Verde,6e-05
Argentina,FINAL,Uzbekistan,4e-05
Argentina,FINAL,Saudi Arabia,3e-05
Argentina,FINAL,Bosnia and Herzegovina,3e-05
Argentina,FINAL,DR Congo,2e-05
Argentina,FINAL,Iraq,1e-05
Argentina,FINAL,Jordan,1e-05
Argentina,QF,Portugal,0.16882
Argentina,QF,Colombia,0.1252
Argentina,QF,Switzerland,0.06627
Argentina,QF,Canada,0.04319
Argentina,QF,Belgium,0.02439
Argentina,QF,Algeria,0.01392
Argentina,QF,Austria,0.01305
Argentina,QF,Croatia,0.01237
Argentina,QF,Iran,0.01157
Argentina,QF,England,0.00977
Argentina,QF,Egypt,0.00781
Argentina,QF,Turkey,0.00724
Argentina,QF,Senegal,0.00642
Argentina,QF,Spain,0.0063
Argentina,QF,United States,0.00588
Argentina,QF,Panama,0.00572
Argentina,QF,Ivory Coast,0.00463
Argentina,QF,Paraguay,0.00454
Argentina,QF,Australia,0.00436
Argentina,QF,Norway,0.00405
Argentina,QF,Uruguay,0.00371
Argentina,QF,Germany,0.0037
Argentina,QF,Ecuador,0.00365
Argentina,QF,France,0.00323
Argentina,QF,Uzbekistan,0.00286
Argentina,QF,Ghana,0.00222
Argentina,QF,Bosnia and Herzegovina,0.00193
Argentina,QF,Czechia,0.00158
Argentina,QF,DR Congo,0.00158
Argentina,QF,South Korea,0.00149
Argentina,QF,Mexico,0.00117
Argentina,QF,Jordan,0.00112
Argentina,QF,New Zealand,0.00108
Argentina,QF,South Africa,0.00053
Argentina,QF,Brazil,0.00051
Argentina,QF,Iraq,0.00046
Argentina,QF,Netherlands,0.00042
Argentina,QF,Japan,0.00041
Argentina,QF,Qatar,0.00035
Argentina,QF,Saudi Arabia,0.00031
Argentina,QF,Sweden,0.00028
Argentina,QF,Tunisia,0.00014
Argentina,QF,Cape Verde,0.00012
Argentina,QF,Morocco,0.00012
Argentina,QF,Curaçao,5e-05
Argentina,QF,Scotland,2e-05
Argentina,R16,Iran,0.1031
Argentina,R16,Belgium,0.09581
Argentina,R16,Turkey,0.08808
Argentina,R16,United States,0.08638
Argentina,R16,Paraguay,0.08136
Argentina,R16,Australia,0.06728
Argentina,R16,Egypt,0.05335
Argentina,R16,Colombia,0.02958
Argentina,R16,Portugal,0.02673
Argentina,R16,Croatia,0.01559
Argentina,R16,England,0.01345
Argentina,R16,New Zealand,0.00966
Argentina,R16,Panama,0.00348
Argentina,R16,Uzbekistan,0.00334
Argentina,R16,DR Congo,0.00204
Argentina,R16,Ghana,0.00149
Argentina,R16,Mexico,0.0012
Argentina,R16,Czechia,0.00102
Argentina,R16,South Korea,0.00084
Argentina,R16,South Africa,0.00044
Argentina,R16,Switzerland,0.00044
Argentina,R16,Senegal,0.00042
Argentina,R16,Ivory Coast,0.00041
Argentina,R16,Canada,0.0004
Argentina,R16,Ecuador,0.00035
Argentina,R16,Uruguay,0.00035
Argentina,R16,Norway,0.00034
Argentina,R16,Bosnia and Herzegovina,0.00026
Argentina,R16,Germany,0.00025
Argentina,R16,Saudi Arabia,0.00023
Argentina,R16,France,0.00017
Argentina,R16,Cape Verde,0.00012
Argentina,R16,Morocco,0.00011
Argentina,R16,Iraq,8e-05
Argentina,R16,Scotland,7e-05
Argentina,R16,Qatar,6e-05
Argentina,R16,Brazil,5e-05
Argentina,R16,Spain,4e-05
Argentina,R16,Curaçao,2e-05
Argentina,R32,Uruguay,0.52734
Argentina,R32,Spain,0.28113
Argentina,R32,Saudi Arabia,0.07155
Argentina,R32,Cape Verde,0.06529
Argentina,R32,Switzerland,0.0114
Argentina,R32,Canada,0.00914
Argentina,R32,Belgium,0.00399
Argentina,R32,Turkey,0.00305
Argentina,R32,United States,0.00242
Argentina,R32,Paraguay,0.00228
Argentina,R32,England,0.00222
Argentina,R32,Australia,0.0016
Argentina,R32,Iran,0.00144
Argentina,R32,Bosnia and Herzegovina,0.00131
Argentina,R32,Croatia,0.00121
Argentina,R32,Egypt,0.00101
Argentina,R32,Portugal,0.00059
Argentina,R32,Qatar,0.00051
Argentina,R32,Colombia,0.00038
Argentina,R32,New Zealand,0.00023
Argentina,R32,Panama,0.00013
Argentina,R32,Ghana,9e-05
Argentina,R32,DR Congo,3e-05
Argentina,R32,Uzbekistan,1e-05
Argentina,SF,England,0.08137
Argentina,SF,Brazil,0.0655
Argentina,SF,France,0.0421
Argentina,SF,Germany,0.02453
Argentina,SF,Netherlands,0.02366
Argentina,SF,Croatia,0.02201
Argentina,SF,Senegal,0.02116
Argentina,SF,Morocco,0.02082
Argentina,SF,Mexico,0.01475
Argentina,SF,Ecuador,0.01313
Argentina,SF,Japan,0.0127
Argentina,SF,Ivory Coast,0.00748
Argentina,SF,Portugal,0.00702
Argentina,SF,Colombia,0.00563
Argentina,SF,Norway,0.00524
Argentina,SF,Scotland,0.0049
Argentina,SF,Czechia,0.0044
Argentina,SF,Uruguay,0.00369
Argentina,SF,South Korea,0.00348
Argentina,SF,Sweden,0.00293
Argentina,SF,Spain,0.0016
Argentina,SF,Switzerland,0.00153
Argentina,SF,Tunisia,0.00111
Argentina,SF,Uzbekistan,0.00085
Argentina,SF,Canada,0.00073
Argentina,SF,Panama,0.00061
Argentina,SF,Algeria,0.00058
Argentina,SF,Austria,0.00042
Argentina,SF,DR Congo,0.00038
Argentina,SF,Turkey,0.0003
Argentina,SF,Saudi Arabia,0.0003
Argentina,SF,United States,0.00028
Argentina,SF,South Africa,0.00028
Argentina,SF,Australia,0.00026
Argentina,SF,Paraguay,0.00025
Argentina,SF,Iraq,0.00018
Argentina,SF,Cape Verde,0.00014
Argentina,SF,Belgium,0.00013
Argentina,SF,Ghana,0.00012
Argentina,SF,Iran,0.0001
Argentina,SF,Haiti,7e-05
Argentina,SF,Jordan,3e-05
Argentina,SF,Bosnia and Herzegovina,3e-05
Argentina,SF,Curaçao,2e-05
Argentina,SF,Egypt,2e-05
Argentina,SF,Qatar,1e-05
Australia,FINAL,Argentina,0.00094
Australia,FINAL,Spain,0.00074
Australia,FINAL,France,0.00054
Australia,FINAL,Portugal,0.00049
Australia,FINAL,Brazil,0.00043
Australia,FINAL,England,0.0004
Australia,FINAL,Colombia,0.00037
Australia,FINAL,Netherlands,0.00017
Australia,FINAL,Belgium,0.00015
Australia,FINAL,Germany,0.00014
Australia,FINAL,Morocco,0.00012
Australia,FINAL,Senegal,0.00012
Australia,FINAL,Uruguay,9e-05
Australia,FINAL,Croatia,7e-05
Australia,FINAL,Switzerland,7e-05
Australia,FINAL,United States,6e-05
Australia,FINAL,Japan,5e-05
Australia,FINAL,Turkey,4e-05
Australia,FINAL,Paraguay,4e-05
Australia,FINAL,Mexico,4e-05
Australia,FINAL,Austria,3e-05
Australia,FINAL,Ecuador,3e-05
Australia,FINAL,Ivory Coast,3e-05
Australia,FINAL,Canada,3e-05
Australia,FINAL,South Korea,2e-05
Australia,FINAL,Iraq,1e-05
Australia,FINAL,Scotland,1e-05
Australia,FINAL,South Africa,1e-05
Australia,QF,Spain,0.02354
Australia,QF,Portugal,0.01319
Australia,QF,Colombia,0.01085
Australia,QF,Argentina,0.00436
Australia,QF,Uruguay,0.00367
Australia,QF,England,0.00363
Australia,QF,Switzerland,0.00356
Australia,QF,Croatia,0.00342
Australia,QF,Netherlands,0.00329
Australia,QF,Canada,0.00232
Australia,QF,Algeria,0.00226
Australia,QF,Austria,0.00211
Australia,QF,Japan,0.00134
Australia,QF,Brazil,0.00126
Australia,QF,Morocco,0.00121
Australia,QF,South Korea,0.00065
Australia,QF,Czechia,0.00054
Australia,QF,Mexico,0.00046
Australia,QF,Scotland,0.00044
Australia,QF,Panama,0.0004
Australia,QF,Iran,0.0004
Australia,QF,Uzbekistan,0.00034
Australia,QF,Belgium,0.00034
Australia,QF,Sweden,0.00033
Australia,QF,Ghana,0.00027
Australia,QF,Egypt,0.00023
Australia,QF,Senegal,0.00022
Australia,QF,South Africa,0.00015
Australia,QF,Bosnia and Herzegovina,0.00015
Australia,QF,Ivory Coast,0.00014
Australia,QF,Ecuador,0.00013
Australia,QF,DR Congo,0.00012
Australia,QF,Germany,0.00012
Australia,QF,Tunisia,9e-05
Australia,QF,France,9e-05
Australia,QF,Norway,8e-05
Australia,QF,Paraguay,7e-05
Australia,QF,Turkey,6e-05
Australia,QF,Jordan,5e-05
Australia,QF,Saudi Arabia,3e-05
Australia,QF,Qatar,3e-05
Australia,QF,New Zealand,3e-05
Australia,QF,United States,3e-05
Australia,QF,Iraq,2e-05
Australia,QF,Haiti,1e-05
Australia,QF,Curaçao,1e-05
Australia,R16,Argentina,0.06728
Australia,R16,Belgium,0.05435
Australia,R16,Uruguay,0.02671
Australia,R16,France,0.02511
Australia,R16,Iran,0.01943
Australia,R16,Spain,0.01165
Australia,R16,South Korea,0.00869
Australia,R16,Czechia,0.0083
Australia,R16,Algeria,0.00823
Australia,R16,Austria,0.00752
Australia,R16,Egypt,0.0064
Australia,R16,Senegal,0.00556
Australia,R16,Mexico,0.00473
Australia,R16,Germany,0.00408
Australia,R16,South Africa,0.00407
Australia,R16,Norway,0.00348
Australia,R16,Japan,0.00257
Australia,R16,Saudi Arabia,0.00218
Australia,R16,Ecuador,0.00197
Australia,R16,Netherlands,0.00193
Australia,R16,Cape Verde,0.00178
Australia,R16,Sweden,0.00161
Australia,R16,Morocco,0.00119
Australia,R16,Tunisia,0.00114
Australia,R16,Ivory Coast,0.00114
Australia,R16,Scotland,0.00113
Australia,R16,Switzerland,0.00087
Australia,R16,New Zealand,0.00083
Australia,R16,Jordan,0.00073
Australia,R16,Brazil,0.00058
Australia,R16,Canada,0.00054
Australia,R16,Iraq,0.00018
Australia,R16,Haiti,0.00013
Australia,R16,Curaçao,4e-05
Australia,R32,Iran,0.09
Australia,R32,Germany,0.07828
Australia,R32,Belgium,0.05858
Australia,R32,Egypt,0.05657
Australia,R32,Bosnia and Herzegovina,0.05042
Australia,R32,Ecuador,0.04512
Australia,R32,France,0.04283
Australia,R32,Qatar,0.02938
Australia,R32,Ivory Coast,0.02586
Australia,R32,New Zealand,0.02125
Australia,R32,Canada,0.02062
Australia,R32,Switzerland,0.01685
Australia,R32,Senegal,0.01389
Australia,R32,Norway,0.01115
Australia,R32,Algeria,0.01016
Australia,R32,Austria,0.0096
Australia,R32,Portugal,0.00595
Australia,R32,Jordan,0.00474
Australia,R32,Colombia,0.00458
Australia,R32,Iraq,0.00318
Australia,R32,Curaçao,0.00279
Australia,R32,Argentina,0.0016
Australia,R32,Sweden,0.00137
Australia,R32,Japan,0.00118
Australia,R32,Tunisia,0.00101
Australia,R32,Netherlands,0.0007
Australia,R32,Uzbekistan,0.00019
Australia,R32,DR Congo,0.00016
Australia,SF,France,0.00434
Australia,SF,Brazil,0.00179
Australia,SF,Netherlands,0.00175
Australia,SF,Spain,0.00164
Australia,SF,England,0.00147
Australia,SF,Germany,0.00146
Australia,SF,Morocco,0.00084
Australia,SF,Japan,0.00069
Australia,SF,Senegal,0.00063
Australia,SF,Croatia,0.00051
Australia,SF,Portugal,0.0005
Australia,SF,Ecuador,0.00049
Australia,SF,Belgium,0.00041
Australia,SF,Colombia,0.0004
Australia,SF,Mexico,0.00038
Australia,SF,Switzerland,0.00037
Australia,SF,Uruguay,0.00029
Australia,SF,Argentina,0.00026
Australia,SF,Ivory Coast,0.00025
Australia,SF,Scotland,0.00025
Australia,SF,Turkey,0.00024
Australia,SF,Norway,0.00014
Australia,SF,Canada,0.00013
Australia,SF,United States,0.00013
Australia,SF,Czechia,0.00013
Australia,SF,Algeria,0.00012
Australia,SF,Paraguay,0.00012
Australia,SF,South Korea,0.00012
Australia,SF,Sweden,0.00011
Australia,SF,Austria,8e-05
Australia,SF,Tunisia,5e-05
Australia,SF,Iran,5e-05
Australia,SF,Egypt,3e-05
Australia,SF,Panama,2e-05
Australia,SF,Cape Verde,2e-05
Australia,SF,DR Congo,1e-05
Australia,SF,South Africa,1e-05
Australia,SF,Bosnia and Herzegovina,1e-05
Australia,SF,Uzbekistan,1e-05
Austria,FINAL,Argentina,0.0026
Austria,FINAL,Spain,0.00199
Austria,FINAL,France,0.00175
Austria,FINAL,Portugal,0.00132
Austria,FINAL,England,0.00096
Austria,FINAL,Brazil,0.00094
Austria,FINAL,Colombia,0.00075
Austria,FINAL,Netherlands,0.00066
Austria,FINAL,Belgium,0.00042
Austria,FINAL,Germany,0.00036
Austria,FINAL,Uruguay,0.00031
Austria,FINAL,Croatia,0.00027
Austria,FINAL,Morocco,0.00026
Austria,FINAL,Senegal,0.00025
Austria,FINAL,Japan,0.00022
Austria,FINAL,Switzerland,0.00018
Austria,FINAL,Ecuador,0.00013
Austria,FINAL,Paraguay,0.0001
Austria,FINAL,Mexico,0.0001
Austria,FINAL,United States,0.0001
Austria,FINAL,Ivory Coast,9e-05
Austria,FINAL,Turkey,8e-05
Austria,FINAL,Canada,8e-05
Austria,FINAL,Scotland,7e-05
Austria,FINAL,Algeria,7e-05
Austria,FINAL,Sweden,6e-05
Austria,FINAL,South Korea,4e-05
Austria,FINAL,Iran,4e-05
Austria,FINAL,Australia,3e-05
Austria,FINAL,Czechia,3e-05
Austria,FINAL,Uzbekistan,2e-05
Austria,FINAL,Egypt,2e-05
Austria,FINAL,Tunisia,1e-05
Austria,FINAL,South Africa,1e-05
Austria,QF,Argentina,0.01305
Austria,QF,Portugal,0.01199
Austria,QF,Spain,0.0117
Austria,QF,Belgium,0.01061
Austria,QF,Colombia,0.0095
Austria,QF,Algeria,0.0045
Austria,QF,Uruguay,0.00446
Austria,QF,Turkey,0.00411
Austria,QF,Switzerland,0.00353
Austria,QF,United States,0.0034
Austria,QF,Iran,0.00322
Austria,QF,Paraguay,0.00297
Austria,QF,Canada,0.0024
Austria,QF,Australia,0.00211
Austria,QF,Croatia,0.00196
Austria,QF,England,0.00181
Austria,QF,Egypt,0.00126
Austria,QF,Senegal,0.00121
Austria,QF,Czechia,0.00099
Austria,QF,South Korea,0.00091
Austria,QF,Brazil,0.00084
Austria,QF,Norway,0.0007
Austria,QF,Ivory Coast,0.00062
Austria,QF,Mexico,0.0006
Austria,QF,Germany,0.00059
Austria,QF,Ecuador,0.00059
Austria,QF,France,0.00052
Austria,QF,Bosnia and Herzegovina,0.00038
Austria,QF,Panama,0.00031
Austria,QF,Morocco,0.00029
Austria,QF,Japan,0.00026
Austria,QF,Ghana,0.00023
Austria,QF,Uzbekistan,0.00023
Austria,QF,Netherlands,0.00021
Austria,QF,Jordan,0.00017
Austria,QF,South Africa,0.00014
Austria,QF,Saudi Arabia,0.00012
Austria,QF,Qatar,0.00012
Austria,QF,Cape Verde,0.00012
Austria,QF,Sweden,0.00011
Austria,QF,DR Congo,9e-05
Austria,QF,New Zealand,8e-05
Austria,QF,Scotland,7e-05
Austria,QF,Tunisia,7e-05
Austria,QF,Iraq,6e-05
Austria,R16,Portugal,0.04545
Austria,R16,Colombia,0.04162
Austria,R16,Belgium,0.01844
Austria,R16,Croatia,0.01811
Austria,R16,England,0.01363
Austria,R16,Iran,0.01191
Austria,R16,Turkey,0.01146
Austria,R16,United States,0.00999
Austria,R16,Paraguay,0.00923
Austria,R16,Australia,0.00752
Austria,R16,Egypt,0.00632
Austria,R16,Panama,0.00518
Austria,R16,Uzbekistan,0.00364
Austria,R16,Mexico,0.00363
Austria,R16,Czechia,0.0034
Austria,R16,South Korea,0.00279
Austria,R16,DR Congo,0.00234
Austria,R16,Ghana,0.00232
Austria,R16,Switzerland,0.00171
Austria,R16,Senegal,0.00141
Austria,R16,Bosnia and Herzegovina,0.00123
Austria,R16,Canada,0.00123
Austria,R16,Ivory Coast,0.00121
Austria,R16,Ecuador,0.00117
Austria,R16,South Africa,0.0011
Austria,R16,Norway,0.00107
Austria,R16,New Zealand,0.00094
Austria,R16,Uruguay,0.00075
Austria,R16,Germany,0.0007
Austria,R16,Saudi Arabia,0.00062
Austria,R16,Cape Verde,0.00054
Austria,R16,France,0.00045
Austria,R16,Morocco,0.00032
Austria,R16,Scotland,0.0003
Austria,R16,Qatar,0.00028
Austria,R16,Iraq,0.00027
Austria,R16,Spain,0.00024
Austria,R16,Brazil,0.00017
Austria,R16,Curaçao,0.00011
Austria,R16,Haiti,3e-05
Austria,R32,Spain,0.32449
Austria,R32,Uruguay,0.14183
Austria,R32,Switzerland,0.06591
Austria,R32,Canada,0.05157
Austria,R32,Belgium,0.02223
Austria,R32,Turkey,0.01732
Austria,R32,United States,0.0137
Austria,R32,England,0.01337
Austria,R32,Paraguay,0.01328
Austria,R32,Saudi Arabia,0.01293
Austria,R32,Iran,0.0109
Austria,R32,Cape Verde,0.01061
Austria,R32,Australia,0.0096
Austria,R32,Bosnia and Herzegovina,0.00697
Austria,R32,Croatia,0.00691
Austria,R32,Egypt,0.00508
Austria,R32,Portugal,0.00342
Austria,R32,Qatar,0.00254
Austria,R32,Colombia,0.00252
Austria,R32,New Zealand,0.00104
Austria,R32,Panama,0.00096
Austria,R32,Ghana,0.0004
Austria,R32,Uzbekistan,0.0003
Austria,R32,DR Congo,0.00013
Austria,SF,France,0.00895
Austria,SF,Brazil,0.00446
Austria,SF,England,0.00373
Austria,SF,Netherlands,0.00349
Austria,SF,Germany,0.00322
Austria,SF,Morocco,0.002
Austria,SF,Senegal,0.00172
Austria,SF,Japan,0.00152
Austria,SF,Ecuador,0.00135
Austria,SF,Croatia,0.00097
Austria,SF,Mexico,0.00094
Austria,SF,Switzerland,0.00077
Austria,SF,Scotland,0.00052
Austria,SF,Colombia,0.00051
Austria,SF,Ivory Coast,0.00051
Austria,SF,Portugal,0.0005
Austria,SF,Czechia,0.00042
Austria,SF,Argentina,0.00042
Austria,SF,Canada,0.00041
Austria,SF,Norway,0.00034
Austria,SF,Sweden,0.00034
Austria,SF,South Korea,0.00026
Austria,SF,Uruguay,0.00023
Austria,SF,Tunisia,0.00017
Austria,SF,Spain,0.00017
Austria,SF,Turkey,0.00013
Austria,SF,Paraguay,0.00011
Austria,SF,United States,9e-05
Austria,SF,Australia,8e-05
Austria,SF,Belgium,6e-05
Austria,SF,Iran,5e-05
Austria,SF,Algeria,4e-05
Austria,SF,Panama,4e-05
Austria,SF,Iraq,3e-05
Austria,SF,Saudi Arabia,2e-05
Austria,SF,Uzbekistan,2e-05
Austria,SF,Bosnia and Herzegovina,1e-05
Austria,SF,South Africa,1e-05
Belgium,FINAL,Argentina,0.01101
Belgium,FINAL,Portugal,0.0058
Belgium,FINAL,Spain,0.00487
Belgium,FINAL,England,0.0048
Belgium,FINAL,Brazil,0.00422
Belgium,FINAL,France,0.0042
Belgium,FINAL,Colombia,0.00383
Belgium,FINAL,Uruguay,0.00153
Belgium,FINAL,Netherlands,0.00147
Belgium,FINAL,Germany,0.00145
Belgium,FINAL,Croatia,0.00128
Belgium,FINAL,Morocco,0.00108
Belgium,FINAL,Senegal,0.001
Belgium,FINAL,Switzerland,0.00079
Belgium,FINAL,Japan,0.00054
Belgium,FINAL,Ecuador,0.00046
Belgium,FINAL,Austria,0.00042
Belgium,FINAL,Algeria,0.00037
Belgium,FINAL,Turkey,0.00035
Belgium,FINAL,Canada,0.00029
Belgium,FINAL,Mexico,0.00028
Belgium,FINAL,Iran,0.00024
Belgium,FINAL,Ivory Coast,0.00023
Belgium,FINAL,United States,0.00017
Belgium,FINAL,Australia,0.00015
Belgium,FINAL,Scotland,0.00013
Belgium,FINAL,Egypt,0.00011
Belgium,FINAL,Czechia,0.0001
Belgium,FINAL,Paraguay,9e-05
