winner,loser,prob
Germany,Morocco,0.08321
South Korea,Bosnia and Herzegovina,0.08145
France,Spain,0.08141
Mexico,Ecuador,0.08114
England,Colombia,0.0785
United States,Iran,0.07848
Austria,Uruguay,0.07836
Australia,Iran,0.07743
Austria,Spain,0.07656
Australia,Belgium,0.0764
France,Scotland,0.0764
Ecuador,Norway,0.07559
England,Portugal,0.07513
Croatia,DR Congo,0.07402
Germany,Paraguay,0.07318
Colombia,England,0.07284
Brazil,Germany,0.07256
France,Paraguay,0.07161
Sweden,Morocco,0.07157
Mexico,England,0.07091
Australia,Bosnia and Herzegovina,0.07041
Scotland,Sweden,0.07002
Iran,Australia,0.06997
Colombia,Spain,0.06973
Brazil,Mexico,0.06969
Sweden,Scotland,0.06913
Brazil,Ivory Coast,0.06908
Colombia,Ecuador,0.06902
Mexico,Saudi Arabia,0.06872
Portugal,Switzerland,0.06871
Germany,Australia,0.06633
Brazil,France,0.06627
France,Australia,0.06595
Netherlands,South Korea,0.06572
France,United States,0.06546
Spain,Australia,0.06463
Egypt,Australia,0.06361
Spain,England,0.06258
Argentina,Turkey,0.06131
Portugal,Austria,0.06039
Argentina,France,0.05995
Switzerland,Egypt,0.05972
Brazil,South Korea,0.05933
Brazil,Senegal,0.05917
Germany,Brazil,0.059
Scotland,Japan,0.05888
South Korea,Qatar,0.0588
Argentina,Switzerland,0.05819
Belgium,South Korea,0.0581
France,Tunisia,0.058
England,Ivory Coast,0.05791
Portugal,Canada,0.05762
Colombia,Austria,0.05742
Senegal,Ecuador,0.05734
Ecuador,Mexico,0.0572
South Korea,Switzerland,0.05688
Czechia,Belgium,0.0568
Morocco,South Korea,0.05672
Australia,Qatar,0.05598
Belgium,South Africa,0.05523
Germany,United States,0.05461
Iran,United States,0.05411
Sweden,Brazil,0.05407
England,Morocco,0.05403
England,Argentina,0.05388
Morocco,Mexico,0.05362
Japan,France,0.05357
Senegal,England,0.05337
Morocco,Germany,0.05327
Germany,Senegal,0.0527
Scotland,Netherlands,0.05265
Colombia,Panama,0.05238
England,Scotland,0.05162
Mexico,Canada,0.0513
United States,Canada,0.05053
Portugal,Belgium,0.05035
France,South Korea,0.05016
France,Argentina,0.04907
Canada,Egypt,0.04874
Argentina,Brazil,0.04863
Norway,Ecuador,0.04837
Croatia,Uzbekistan,0.04826
Portugal,Uruguay,0.04825
Australia,New Zealand,0.04823
Colombia,Norway,0.04809
Switzerland,New Zealand,0.04806
Switzerland,Colombia,0.04735
Argentina,Paraguay,0.04732
Portugal,Ecuador,0.04731
Netherlands,Germany,0.04698
Colombia,Belgium,0.04693
Ecuador,Senegal,0.04686
England,Germany,0.04674
Iran,Czechia,0.04653
France,Portugal,0.04652
Netherlands,Mexico,0.04629
Mexico,Morocco,0.0457
Portugal,France,0.04523
Uruguay,Algeria,0.04489
Colombia,Algeria,0.04458
Netherlands,Norway,0.04456
Egypt,United States,0.0445
Argentina,Canada,0.04408
France,England,0.04397
Germany,Netherlands,0.04396
England,Netherlands,0.04392
Switzerland,Iran,0.04392
Switzerland,Algeria,0.0423
Scotland,Germany,0.04228
Ivory Coast,Scotland,0.04227
Mexico,Bosnia and Herzegovina,0.04215
Portugal,Panama,0.04203
France,Switzerland,0.04174
Germany,Sweden,0.04147
Canada,New Zealand,0.04101
Morocco,Ivory Coast,0.04095
France,Belgium,0.04066
France,Colombia,0.04057
Germany,Japan,0.04018
Portugal,Algeria,0.04004
Colombia,Uruguay,0.03957
Colombia,Senegal,0.03949
Switzerland,Mexico,0.03922
Portugal,United States,0.0392
Netherlands,Canada,0.03912
Bosnia and Herzegovina,South Korea,0.03885
Scotland,Mexico,0.03867
Senegal,Germany,0.03845
Morocco,France,0.03837
Brazil,Ecuador,0.03822
Belgium,Switzerland,0.03798
England,Uruguay,0.03776
United States,New Zealand,0.03756
Austria,Cape Verde,0.03754
Netherlands,Ivory Coast,0.03742
Spain,Iran,0.03738
Turkey,Germany,0.03729
Algeria,Spain,0.03723
Netherlands,Switzerland,0.03715
Belgium,Canada,0.03679
Norway,Germany,0.03678
Scotland,Ivory Coast,0.03659
Spain,Germany,0.03631
Turkey,Egypt,0.03627
England,Spain,0.03608
England,Japan,0.03601
United States,Switzerland,0.03577
Brazil,Argentina,0.03573
Croatia,Spain,0.0356
Scotland,South Korea,0.03555
Canada,Iran,0.03533
Portugal,Norway,0.03496
South Korea,Scotland,0.03486
Japan,Norway,0.03485
Switzerland,United States,0.03464
Algeria,Switzerland,0.03446
Netherlands,England,0.03446
France,Mexico,0.03439
Sweden,France,0.03416
Switzerland,Czechia,0.03409
Belgium,Mexico,0.03398
Switzerland,Belgium,0.03386
Czechia,Canada,0.03378
Colombia,United States,0.03354
Czechia,Iran,0.03322
Canada,Algeria,0.03312
Spain,Mexico,0.03309
Spain,Netherlands,0.03307
United States,Czechia,0.03303
Switzerland,Austria,0.03299
Algeria,Canada,0.03298
Belgium,Spain,0.03297
Colombia,Iran,0.03296
Uruguay,Belgium,0.0329
Ecuador,South Korea,0.03287
Belgium,Cape Verde,0.03281
Ecuador,England,0.0328
Senegal,Brazil,0.03278
Argentina,Netherlands,0.03221
Spain,Brazil,0.03202
Canada,Colombia,0.032
Colombia,Egypt,0.03175
South Korea,Cape Verde,0.03174
Uruguay,Mexico,0.03151
Mexico,Ivory Coast,0.03149
Czechia,Bosnia and Herzegovina,0.03147
Argentina,Croatia,0.03131
Mexico,Switzerland,0.03129
Australia,Canada,0.03125
Canada,Czechia,0.03123
Belgium,Argentina,0.03121
Canada,Mexico,0.03111
Uruguay,United States,0.03098
Uruguay,Portugal,0.03089
Morocco,England,0.03087
Portugal,Senegal,0.03083
Belgium,Turkey,0.03074
South Korea,Morocco,0.03073
Uruguay,Colombia,0.03051
Ivory Coast,Brazil,0.03039
Mexico,Qatar,0.03019
Czechia,Egypt,0.02945
Argentina,Germany,0.02944
Colombia,France,0.02941
Netherlands,Senegal,0.0294
Ghana,Colombia,0.02935
France,Uruguay,0.02932
Norway,Sweden,0.02931
Portugal,Australia,0.02928
Morocco,Norway,0.02917
France,Canada,0.02913
Colombia,Australia,0.0289
Uruguay,Australia,0.02878
Ivory Coast,France,0.0287
Ivory Coast,Morocco,0.02869
Paraguay,Egypt,0.02868
England,France,0.02847
Algeria,Uruguay,0.02836
United States,Ecuador,0.02813
Belgium,Uruguay,0.02801
Belgium,Saudi Arabia,0.02794
Belgium,Austria,0.02779
Uruguay,Croatia,0.02778
Turkey,Iran,0.02763
DR Congo,Ghana,0.02759
Croatia,Austria,0.02758
Germany,England,0.02746
Germany,Mexico,0.02724
Japan,South Korea,0.02719
Brazil,Spain,0.02715
Japan,Ivory Coast,0.02705
Ghana,Portugal,0.027
Portugal,Brazil,0.02697
Brazil,Switzerland,0.02689
Japan,Germany,0.02666
Egypt,Czechia,0.02663
Germany,Haiti,0.02653
Switzerland,Australia,0.02648
France,Ecuador,0.02646
Switzerland,Portugal,0.02639
Austria,Switzerland,0.02621
Mexico,Uruguay,0.02618
Ecuador,United States,0.02599
Belgium,Paraguay,0.02581
Argentina,Senegal,0.0258
Canada,United States,0.0258
Spain,Switzerland,0.02567
Brazil,Canada,0.02565
Austria,Colombia,0.02557
South Korea,Saudi Arabia,0.02554
Belgium,Colombia,0.0255
Austria,United States,0.02539
Switzerland,Ecuador,0.02534
Austria,Saudi Arabia,0.02525
Argentina,Ecuador,0.02513
Portugal,Iran,0.02509
Spain,Egypt,0.02507
Uruguay,England,0.02499
Canada,Austria,0.02495
Mexico,Brazil,0.02493
Paraguay,Germany,0.02487
South Korea,Ecuador,0.02479
Turkey,Ivory Coast,0.02477
Portugal,Germany,0.02474
Austria,Canada,0.02466
Belgium,Bosnia and Herzegovina,0.02465
Iran,Switzerland,0.02462
Netherlands,Czechia,0.02455
United States,Austria,0.02452
Belgium,Portugal,0.02433
Austria,Portugal,0.02431
Brazil,Colombia,0.02406
Iran,Canada,0.02399
Austria,Croatia,0.0236
Egypt,Switzerland,0.02345
Ivory Coast,Turkey,0.02323
Morocco,Canada,0.02303
Egypt,Canada,0.02302
Belgium,Algeria,0.02285
Germany,South Korea,0.02282
Colombia,Germany,0.02279
Portugal,Mexico,0.02276
Australia,Switzerland,0.02269
Spain,Ghana,0.02261
England,Austria,0.02261
Czechia,Qatar,0.02257
United States,Algeria,0.02233
Spain,DR Congo,0.02231
Ecuador,Colombia,0.02229
France,Czechia,0.02226
Colombia,Ivory Coast,0.02224
Bosnia and Herzegovina,United States,0.02223
Spain,Czechia,0.02213
Brazil,Portugal,0.0221
Algeria,United States,0.02199
Canada,Belgium,0.02198
DR Congo,Croatia,0.02196
Turkey,Belgium,0.02194
Portugal,Egypt,0.0218
Morocco,Switzerland,0.02172
United States,Germany,0.02171
England,Cape Verde,0.02169
Colombia,Brazil,0.02167
Czechia,Switzerland,0.02147
Austria,Australia,0.02133
Spain,South Korea,0.02129
Japan,Mexico,0.02127
Australia,Germany,0.02127
South Korea,England,0.02102
England,Algeria,0.02101
Paraguay,Iran,0.0209
Morocco,Senegal,0.0208
South Korea,Belgium,0.02079
Sweden,South Korea,0.02079
Senegal,Japan,0.0207
England,Saudi Arabia,0.02061
Uzbekistan,Ghana,0.02043
Algeria,Colombia,0.02042
DR Congo,England,0.02036
Norway,Japan,0.02024
Portugal,Netherlands,0.02024
South Korea,Netherlands,0.02016
Colombia,Turkey,0.02012
Canada,Ecuador,0.02005
Croatia,Uruguay,0.02002
Canada,Australia,0.01995
United States,Ivory Coast,0.01994
Austria,Belgium,0.01991
Iran,South Africa,0.0199
Argentina,Morocco,0.01981
Japan,Senegal,0.01978
France,Croatia,0.01977
Ecuador,Australia,0.01976
Ivory Coast,Paraguay,0.01972
Ivory Coast,Australia,0.01967
Uruguay,Iran,0.01955
Bosnia and Herzegovina,Australia,0.01955
Egypt,Turkey,0.01947
Ecuador,Switzerland,0.01945
Australia,Ivory Coast,0.01933
South Korea,Brazil,0.01931
Ivory Coast,Japan,0.01909
Ghana,DR Congo,0.01906
Netherlands,Ecuador,0.01897
Senegal,Netherlands,0.01895
Belgium,Ecuador,0.0189
Switzerland,Netherlands,0.01886
Spain,Morocco,0.01882
Iran,South Korea,0.0188
Iran,Turkey,0.01879
Paraguay,Ivory Coast,0.01878
Argentina,Mexico,0.01874
Colombia,Bosnia and Herzegovina,0.01872
Uruguay,South Korea,0.0187
Czechia,United States,0.01858
Senegal,Mexico,0.01855
Senegal,Colombia,0.0185
Ecuador,Canada,0.01844
England,Iraq,0.01824
Netherlands,Spain,0.01821
Japan,England,0.01817
Australia,Czechia,0.01815
Senegal,Morocco,0.01811
Australia,Argentina,0.01805
Australia,Ecuador,0.018
Spain,Uzbekistan,0.018
Qatar,South Korea,0.01788
Uruguay,Egypt,0.01773
Mexico,Haiti,0.01767
Argentina,Algeria,0.01767
Netherlands,Bosnia and Herzegovina,0.01761
Argentina,New Zealand,0.0175
Turkey,New Zealand,0.01738
Ivory Coast,Mexico,0.01737
Switzerland,South Africa,0.01732
Ivory Coast,England,0.01731
Ivory Coast,United States,0.01725
Brazil,Czechia,0.01716
Algeria,Portugal,0.0171
Canada,South Africa,0.01709
Iran,Paraguay,0.01708
Canada,Portugal,0.01703
Portugal,Ivory Coast,0.01698
United States,Norway,0.01686
France,Austria,0.01685
Switzerland,Morocco,0.01681
France,Egypt,0.01677
Uzbekistan,Croatia,0.01676
Egypt,Paraguay,0.01668
Mexico,Germany,0.01663
Argentina,Japan,0.01661
France,Iran,0.01657
England,Sweden,0.01652
France,Cape Verde,0.01642
Spain,Canada,0.01626
Colombia,Mexico,0.01624
Australia,Austria,0.01617
Germany,Spain,0.01614
Ecuador,Brazil,0.01598
Turkey,France,0.01597
Germany,Switzerland,0.01588
Japan,Canada,0.01583
Algeria,Belgium,0.01582
Netherlands,Argentina,0.0158
United States,Spain,0.0158
Ivory Coast,Netherlands,0.01576
Colombia,Netherlands,0.01573
Germany,Colombia,0.01563
Mexico,Senegal,0.01556
Portugal,Colombia,0.01549
Morocco,Czechia,0.01538
United States,Argentina,0.01531
Ivory Coast,Sweden,0.0153
Spain,Turkey,0.01524
Spain,Japan,0.01524
Spain,Ecuador,0.01522
Belgium,Croatia,0.01517
South Korea,Sweden,0.01516
England,Czechia,0.01514
Senegal,Scotland,0.01503
Uzbekistan,England,0.01496
Argentina,Austria,0.01488
Switzerland,Jordan,0.01487
Algeria,Australia,0.01484
United States,Uruguay,0.0148
Switzerland,Sweden,0.01478
Morocco,Ecuador,0.01476
Croatia,Algeria,0.01471
Senegal,Sweden,0.0147
Japan,Switzerland,0.01469
Norway,Scotland,0.01466
Norway,Netherlands,0.01465
Sweden,Ivory Coast,0.01451
Norway,Brazil,0.01449
Belgium,Norway,0.01445
Mexico,Belgium,0.01443
Paraguay,New Zealand,0.01439
Sweden,Norway,0.01439
Belgium,France,0.01436
Norway,Morocco,0.01431
Iran,Bosnia and Herzegovina,0.01427
Argentina,Ivory Coast,0.0142
Algeria,Bosnia and Herzegovina,0.01419
Mexico,Netherlands,0.01417
Colombia,Paraguay,0.01411
France,Saudi Arabia,0.01411
Switzerland,Argentina,0.01408
Paraguay,Belgium,0.01406
Mexico,Norway,0.01406
Germany,Portugal,0.01388
Uruguay,France,0.01386
Netherlands,Portugal,0.01384
Scotland,Norway,0.01379
Spain,Senegal,0.0136
Switzerland,Brazil,0.01358
Norway,England,0.01348
United States,South Korea,0.01347
Brazil,Tunisia,0.01346
Saudi Arabia,Mexico,0.01341
Croatia,Belgium,0.01333
South Korea,Japan,0.01329
Ecuador,Portugal,0.01325
Portugal,Turkey,0.01324
Austria,Iran,0.01316
Portugal,Morocco,0.01311
Spain,Uruguay,0.0131
Senegal,Portugal,0.01307
Senegal,United States,0.01305
Czechia,Australia,0.01296
Japan,Ecuador,0.01292
Canada,Jordan,0.01291
Netherlands,Colombia,0.0128
Argentina,Norway,0.01279
Australia,Algeria,0.01278
Algeria,Croatia,0.01274
South Korea,Iran,0.01267
Bosnia and Herzegovina,Czechia,0.01255
Mexico,Sweden,0.0125
Australia,Uruguay,0.01249
Sweden,Germany,0.01248
Switzerland,Japan,0.01244
Germany,Canada,0.01244
Belgium,Senegal,0.0124
England,Belgium,0.01236
Cape Verde,South Korea,0.01231
Croatia,United States,0.01212
Sweden,Canada,0.01194
Mexico,Japan,0.01187
Egypt,Bosnia and Herzegovina,0.01185
New Zealand,Australia,0.01184
United States,Senegal,0.01183
Germany,Argentina,0.01175
Canada,Morocco,0.01173
Portugal,Bosnia and Herzegovina,0.0117
Brazil,Bosnia and Herzegovina,0.01167
Colombia,Portugal,0.01166
Colombia,New Zealand,0.01152
Canada,Netherlands,0.01145
Iran,Cape Verde,0.01145
Portugal,South Korea,0.01141
South Korea,Egypt,0.01138
Norway,United States,0.01136
Ecuador,Belgium,0.01127
Saudi Arabia,South Korea,0.01116
Brazil,Uruguay,0.01111
South Korea,Ivory Coast,0.0111
United States,Portugal,0.01109
Bosnia and Herzegovina,Mexico,0.01107
Spain,Paraguay,0.01107
Scotland,France,0.01105
Egypt,South Africa,0.01101
Portugal,Japan,0.01097
Spain,Norway,0.01095
Germany,Czechia,0.01093
United States,France,0.01091
Switzerland,Scotland,0.01089
Cape Verde,Mexico,0.01085
Ivory Coast,South Korea,0.01078
Scotland,England,0.01077
Belgium,Qatar,0.01076
Ecuador,Japan,0.01075
Egypt,South Korea,0.01074
Ecuador,Scotland,0.01073
Czechia,New Zealand,0.01073
Cape Verde,Austria,0.01067
United States,Colombia,0.01062
Colombia,Morocco,0.01062
South Africa,Belgium,0.01058
Switzerland,France,0.01055
Morocco,Bosnia and Herzegovina,0.01054
Iran,Saudi Arabia,0.0105
Australia,Norway,0.0105
France,New Zealand,0.01041
Ecuador,Morocco,0.01038
Austria,Bosnia and Herzegovina,0.01032
Spain,Ivory Coast,0.01031
Senegal,Belgium,0.0103
Australia,Spain,0.01029
Brazil,Morocco,0.01026
Mexico,Iran,0.01014
England,Switzerland,0.01013
Canada,Sweden,0.0101
Sweden,Mexico,0.01006
Portugal,Paraguay,0.01002
Germany,Belgium,0.01001
Scotland,Senegal,0.00997
Switzerland,Germany,0.00992
Sweden,Switzerland,0.00991
Algeria,Iran,0.00989
Paraguay,France,0.00986
Iran,Mexico,0.00984
Brazil,Belgium,0.00976
Austria,Egypt,0.00969
Egypt,Argentina,0.00968
Norway,Australia,0.00968
Bosnia and Herzegovina,Egypt,0.00961
Colombia,Japan,0.00954
Japan,Czechia,0.00953
Australia,France,0.00953
United States,Mexico,0.00952
Turkey,Argentina,0.00951
Ghana,Uzbekistan,0.0095
Switzerland,Ivory Coast,0.00941
Netherlands,Haiti,0.00939
Bosnia and Herzegovina,South Africa,0.00939
France,Algeria,0.00934
Portugal,Czechia,0.00928
Mexico,DR Congo,0.00928
Senegal,Australia,0.00923
Switzerland,Ghana,0.00923
Morocco,Spain,0.00919
Ecuador,Netherlands,0.00917
Morocco,Argentina,0.00917
Scotland,Canada,0.00915
Croatia,Argentina,0.00911
Croatia,Switzerland,0.0091
Qatar,Australia,0.00909
Netherlands,Belgium,0.00908
South Korea,Uruguay,0.00905
Netherlands,United States,0.00902
Belgium,Germany,0.00891
United States,Croatia,0.00889
United States,Sweden,0.00884
South Africa,Bosnia and Herzegovina,0.00878
Algeria,Cape Verde,0.00873
Iran,Austria,0.00863
Senegal,Argentina,0.00861
Czechia,Morocco,0.00861
Netherlands,Qatar,0.00853
Uruguay,Switzerland,0.00851
Iran,Argentina,0.00846
South Korea,Germany,0.00841
Uruguay,Turkey,0.0084
Mexico,Egypt,0.00839
Norway,Mexico,0.00839
Morocco,Tunisia,0.00837
Austria,England,0.00819
Switzerland,Croatia,0.00818
Sweden,Senegal,0.00816
Uruguay,Brazil,0.00815
Japan,Bosnia and Herzegovina,0.00814
Iran,Algeria,0.00813
Canada,Japan,0.00813
Ecuador,Czechia,0.00813
Australia,Colombia,0.00812
Qatar,United States,0.00811
South Africa,Canada,0.00808
Canada,Brazil,0.00805
Bosnia and Herzegovina,New Zealand,0.00804
Panama,Colombia,0.00804
Iran,Uruguay,0.00803
Switzerland,Senegal,0.00797
New Zealand,Canada,0.00788
United States,South Africa,0.00787
Netherlands,Uruguay,0.00787
Spain,Sweden,0.00786
Croatia,Canada,0.00782
Norway,Colombia,0.00781
Algeria,England,0.0078
Ivory Coast,Haiti,0.00779
Iran,Colombia,0.00777
Ecuador,Bosnia and Herzegovina,0.00773
Switzerland,Norway,0.00772
Scotland,Czechia,0.00769
Ecuador,Sweden,0.00767
Saudi Arabia,Austria,0.00764
Australia,Portugal,0.00762
Morocco,Colombia,0.00761
Croatia,Mexico,0.00761
Argentina,Ghana,0.00761
Morocco,Portugal,0.00759
Senegal,South Korea,0.00758
Senegal,Switzerland,0.00754
Sweden,Czechia,0.00753
Austria,Ghana,0.00752
Canada,Scotland,0.0075
Scotland,Ecuador,0.0075
South Korea,France,0.00747
Australia,South Korea,0.00744
Turkey,Bosnia and Herzegovina,0.00744
Scotland,Switzerland,0.00743
Colombia,South Korea,0.00742
Uruguay,Paraguay,0.0074
Egypt,Cape Verde,0.0074
New Zealand,Switzerland,0.00733
England,United States,0.00728
Czechia,Netherlands,0.00727
Czechia,Scotland,0.00723
Australia,Senegal,0.0072
Brazil,Croatia,0.00712
Canada,Ivory Coast,0.00709
Ivory Coast,Colombia,0.00707
Argentina,Scotland,0.00707
Saudi Arabia,Argentina,0.00705
South Korea,United States,0.00704
France,Senegal,0.00702
Germany,Uruguay,0.00701
France,Bosnia and Herzegovina,0.007
Norway,Belgium,0.00699
Croatia,Australia,0.00699
Canada,Ghana,0.00696
Netherlands,Australia,0.00695
Portugal,New Zealand,0.00689
Morocco,Brazil,0.00684
Netherlands,Japan,0.00681
Senegal,Canada,0.0068
Spain,Jordan,0.00679
Iran,Qatar,0.00679
Uruguay,Germany,0.00679
Netherlands,South Africa,0.00676
Czechia,Cape Verde,0.00676
Belgium,England,0.00671
Norway,Curaçao,0.00668
Brazil,Scotland,0.00666
Mexico,Uzbekistan,0.00665
Argentina,South Korea,0.0066
Tunisia,France,0.00659
Croatia,Ecuador,0.00656
Croatia,France,0.00656
Uruguay,Ghana,0.00654
Sweden,Bosnia and Herzegovina,0.00653
Spain,Scotland,0.00649
South Korea,Haiti,0.00649
Uruguay,Netherlands,0.00648
Egypt,Saudi Arabia,0.00647
South Africa,Egypt,0.00647
Mexico,Portugal,0.00646
Uruguay,Czechia,0.00644
Turkey,Colombia,0.00641
Cape Verde,Argentina,0.00641
United States,Jordan,0.0064
Algeria,Egypt,0.00634
Uruguay,Canada,0.00632
Belgium,Ivory Coast,0.00629
Belgium,Netherlands,0.00627
Czechia,Sweden,0.00625
Uruguay,DR Congo,0.00624
Algeria,Saudi Arabia,0.00622
Japan,United States,0.00621
Egypt,Colombia,0.0062
South Africa,Qatar,0.00618
Uruguay,Spain,0.00617
Egypt,Qatar,0.00616
Switzerland,Spain,0.00613
Austria,DR Congo,0.00613
Colombia,Jordan,0.00613
Germany,Croatia,0.00613
Panama,Portugal,0.00611
Ecuador,Iran,0.00611
Bosnia and Herzegovina,Iran,0.00609
Colombia,Qatar,0.00605
Canada,Argentina,0.00604
Algeria,Qatar,0.00603
Ivory Coast,Switzerland,0.00602
Portugal,Scotland,0.006
South Africa,Iran,0.006
Spain,Panama,0.00595
Turkey,Qatar,0.00591
Brazil,United States,0.00591
Paraguay,Argentina,0.00589
Colombia,Iraq,0.00587
United States,Cape Verde,0.00582
New Zealand,Bosnia and Herzegovina,0.00582
Iran,Portugal,0.00581
Australia,Sweden,0.0058
Japan,Argentina,0.00574
Uruguay,Ecuador,0.0057
Japan,Haiti,0.00569
New Zealand,United States,0.00569
Switzerland,Uruguay,0.00568
Ivory Coast,Canada,0.00567
Netherlands,Turkey,0.00566
Ivory Coast,Portugal,0.00566
Uruguay,Senegal,0.00565
England,Australia,0.00563
Scotland,Tunisia,0.00561
Croatia,Iran,0.0056
Japan,Spain,0.0056
Mexico,United States,0.00559
Cape Verde,Belgium,0.00559
Ecuador,France,0.00558
Belgium,Brazil,0.00556
Colombia,Czechia,0.00551
Sweden,Haiti,0.00551
Czechia,Ecuador,0.0055
Morocco,Qatar,0.0055
United States,Saudi Arabia,0.00549
Canada,Norway,0.00548
England,Canada,0.00547
Mexico,Croatia,0.00546
Netherlands,Croatia,0.00544
Canada,Croatia,0.00541
Senegal,Iran,0.00539
Czechia,Brazil,0.00539
South Africa,Switzerland,0.00538
Bosnia and Herzegovina,Algeria,0.00537
Senegal,Spain,0.00536
Egypt,Uruguay,0.00535
Uruguay,Uzbekistan,0.00534
Saudi Arabia,Belgium,0.00533
Portugal,Sweden,0.00531
Germany,Tunisia,0.00529
Japan,Colombia,0.00528
Brazil,Austria,0.00524
Spain,Bosnia and Herzegovina,0.00522
Mexico,Curaçao,0.00522
Egypt,Mexico,0.00519
Croatia,Norway,0.00519
Brazil,Qatar,0.00511
Algeria,Ghana,0.0051
Senegal,Curaçao,0.0051
Ecuador,Turkey,0.00509
Ecuador,Egypt,0.00507
Switzerland,Turkey,0.00507
Japan,Portugal,0.00506
Algeria,Argentina,0.00506
Argentina,Sweden,0.00504
Scotland,Bosnia and Herzegovina,0.00503
Canada,Senegal,0.00503
Czechia,Saudi Arabia,0.00502
Turkey,Canada,0.00502
Colombia,Sweden,0.005
Australia,Mexico,0.00499
Canada,Germany,0.00499
Mexico,Spain,0.00498
Norway,Iran,0.00495
Mexico,Colombia,0.00495
Paraguay,Bosnia and Herzegovina,0.00494
Qatar,Czechia,0.0049
Austria,Qatar,0.0049
Switzerland,England,0.00489
Netherlands,Sweden,0.00488
South Korea,Australia,0.00486
Norway,Switzerland,0.00483
Portugal,Cape Verde,0.00478
Norway,South Korea,0.00477
Senegal,Egypt,0.00476
Sweden,Ecuador,0.00476
Sweden,United States,0.00475
Bosnia and Herzegovina,Belgium,0.00475
United States,Japan,0.00474
Iran,Ecuador,0.00474
Turkey,Switzerland,0.00465
Australia,Croatia,0.00463
Croatia,Germany,0.0046
Norway,Portugal,0.00459
Qatar,South Africa,0.00459
Ecuador,Croatia,0.00458
Czechia,Japan,0.00458
Paraguay,Colombia,0.00457
Norway,Tunisia,0.00456
Croatia,Senegal,0.00454
Germany,Austria,0.00454
Argentina,DR Congo,0.0045
South Korea,Senegal,0.0045
Turkey,Ecuador,0.00447
Australia,Cape Verde,0.00445
Brazil,Australia,0.00445
Ivory Coast,Iraq,0.00444
Turkey,Uruguay,0.00444
Australia,South Africa,0.00444
Austria,Turkey,0.00442
Egypt,Austria,0.00439
Colombia,Scotland,0.00438
Panama,DR Congo,0.00438
Canada,France,0.00437
Norway,Egypt,0.00437
Morocco,South Africa,0.00437
Netherlands,Austria,0.00437
Portugal,Saudi Arabia,0.00437
Iran,Spain,0.00436
Morocco,Scotland,0.00435
Uruguay,Norway,0.00434
Uruguay,Morocco,0.00431
Brazil,South Africa,0.00431
DR Congo,Panama,0.00429
Norway,Ghana,0.00426
Norway,Canada,0.00424
Japan,Netherlands,0.00424
South Korea,Norway,0.00422
Australia,Jordan,0.00421
Cape Verde,Egypt,0.00421
Mexico,Australia,0.00421
Austria,Czechia,0.00419
England,Croatia,0.00418
Sweden,Australia,0.00417
United States,Netherlands,0.00413
Egypt,Portugal,0.00413
